variant,canonical,type,category
Tableau,Tableau,Tool,Visualisation
Tableau Prep,Tableau,Tool,Visualisation
Tableau Pulse,Tableau,Tool,Visualisation
Power BI,Power BI,Tool,Visualisation
PowerBI,Power BI,Tool,Visualisation
DAX,Power BI,Tool,Visualisation
Power Query,Power BI,Tool,Visualisation
Power Pivot,Power BI,Tool,Visualisation
DirectLake,Power BI,Tool,Visualisation
Power BI Copilot,Power BI,Tool,Visualisation
Looker,Looker,Tool,Visualisation
LookML,Looker,Tool,Visualisation
Looker Studio,Looker Studio,Tool,Visualisation
Metabase,Metabase,Tool,Visualisation
Superset,Superset,Tool,Visualisation
ThoughtSpot,ThoughtSpot,Tool,Visualisation
QuickSight,QuickSight,Tool,Visualisation
Quicksight,QuickSight,Tool,Visualisation
Qlik,Qlik,Tool,Visualisation
QLIK,Qlik,Tool,Visualisation
Qlik Sense,Qlik,Tool,Visualisation
Qlik View,Qlik,Tool,Visualisation
Qlik Cloud,Qlik,Tool,Visualisation
nPrinting,Qlik,Tool,Visualisation
SSRS,SSRS,Tool,Visualisation
SQL Server Reporting Services,SSRS,Tool,Visualisation
Business Objects,Business Objects,Tool,Visualisation
MicroStrategy,MicroStrategy,Tool,Visualisation
Grafana,Grafana,Tool,Visualisation
Kibana,Kibana,Tool,Visualisation
Domo,Domo,Tool,Visualisation
Streamlit,Streamlit,Tool,Visualisation
Dash,Dash,Tool,Visualisation
Lightdash,Lightdash,Tool,Visualisation
Omni,Omni,Tool,Visualisation
GoodData,GoodData,Tool,Visualisation
Holistics,Holistics,Tool,Visualisation
Visualisation,Visualisation,Concept,Visualisation
Data Visualization,Visualisation,Concept,Visualisation
Data visualisation,Visualisation,Concept,Visualisation
Data visualisation tools,Visualisation,Concept,Visualisation
data visualization platforms,Visualisation,Concept,Visualisation
dashboarding,Visualisation,Concept,Visualisation
Reporting,Visualisation,Concept,Visualisation
BI tools,Visualisation,Concept,Visualisation
Business Intelligence tools,Visualisation,Concept,Visualisation
BI development,Visualisation,Concept,Visualisation
SQL,SQL,Language,SQL & Querying
T-SQL,T-SQL,Tool,SQL & Querying
CTEs,SQL,Concept,SQL & Querying
PySQL,PySQL,Tool,SQL & Querying
SQL Server,SQL Server,Tool,SQL & Querying
MS SQL Server,SQL Server,Tool,SQL & Querying
Microsoft SQL Server Management Studio,SQL Server,Tool,SQL & Querying
Azure SQL,Azure,Tool,Cloud Platforms
Oracle,Oracle,Tool,SQL & Querying
Postgres,PostgreSQL,Tool,SQL & Querying
NoSQL,NoSQL,Concept,SQL & Querying
MongoDB,MongoDB,Tool,SQL & Querying
relational databases,SQL,Concept,SQL & Querying
Python,Python,Language,Python
pandas,pandas,Tool,Python
Pandas,pandas,Tool,Python
numpy,numpy,Tool,Python
scipy,scipy,Tool,Python
matplotlib,matplotlib,Tool,Python
seaborn,seaborn,Tool,Python
statsmodels,statsmodels,Tool,Python
polars,polars,Tool,Python
